,Fighter_1,Fighter_2,F1_W,F1_W_media,Judge-1-Name,Judge-2-Name,Judge-3-Name,Judge-1-Score,Judge-2-Score,Judge-3-Score,Judge-1-Agreement,Judge-2-Agreement,Judge-3-Agreement,Cluster,media_Agreement,Judge-1-Agreement_media,Judge-2-Agreement_media,Judge-3-Agreement_media
0,Hermes Franca,Yves Edwards,0,1,Cecil Peoples,Dalby Shirley,Tony Weeks,29-28,29-28,28-29,1,1,0,1,0,0,0,1
1,Karo Parisyan,Nick Diaz,1,1,Cecil Peoples,Marcos Rosales,Dalby Shirley,29-28,30-27,28-29,1,1,0,4,1,1,1,0
2,Tito Ortiz,Vitor Belfort,1,1,Nelson Hamilton,Jeff Mullen,Cecil Peoples,29-28,28-29,29-28,1,0,1,4,1,1,0,1
3,Chris Leben,Patrick Cote,1,1,Jon Schorle,Dalby Shirley,Roy Silbert,29-28,30-27,27-29,1,1,0,4,1,1,1,0
4,Brad Imes,Rashad Evans,0,0,Abe Belardo,Nelson Hamilton,Tony Weeks,29-28,29-28,28-29,1,1,0,1,1,1,1,0
5,Bj Penn,Georges St-Pierre,0,0,Nelson Hamilton,Cecil Peoples,Marcos Rosales,29-28,28-29,29-28,1,0,1,2,1,1,0,1
6,Sam Stout,Spencer Fisher,1,0,Chris Lee,Mike Ross,Tim Vannatta,30-27,30-27,30-27,1,1,1,5,0,0,0,0
7,Rashad Evans,Sam Hoger,1,1,Raul Porrata,Marcos Rosales,Glenn Trowbridge,28-29,30-27,29-28,0,1,1,4,1,0,1,1
8,Jeff Monson,Marcio Cruz,1,0,Abe Belardo,Hector Hernandez,Alejandro Rochin,30-27,29-28,28-29,1,1,0,4,0,0,0,1
9,Forrest Griffin,Tito Ortiz,0,0,Abe Belardo,Hector Hernandez,Cecil Peoples,30-27,28-29,29-27,1,0,1,2,1,1,0,1
10,Forrest Griffin,Tito Ortiz,0,1,Lester Griffin,Marcos Rosales,Glenn Trowbridge,30-27,29-28,28-29,1,1,0,2,0,0,0,1
11,Danny Abbadi,Jorge Gurgel,0,1,Nelson Hamilton,Cecil Peoples,Alejandro Rochin,29-28,29-28,29-28,1,1,1,3,0,0,0,0
12,Carmelo Marrero,Cheick Kongo,1,1,Lester Griffin,Nelson Hamilton,Tony Weeks,29-28,29-28,28-29,1,1,0,4,1,1,1,0
13,Chris Lytle,Matt Serra,0,1,Lester Griffin,Marcos Rosales,Glenn Trowbridge,30-27,30-27,27-30,1,1,0,2,0,0,0,1
14,David Heath,Victor Valimaki,1,1,Nelson Hamilton,Cecil Peoples,Alejandro Rochin,29-28,28-29,29-28,1,0,1,3,1,1,0,1
15,Clay Guida,Tyson Griffin,0,0,Douglas Crosby,Jeff Mullen,Andy Roberts,29-28,28-29,29-28,1,0,1,1,1,1,0,1
16,Clay Guida,Marcus Aurelio,1,1,Adalaide Byrd,Jeff Collins,Patricia Morse Jarman,28-29,30-27,30-27,0,1,1,3,1,0,1,1
17,Matt Hamill,Michael Bisping,0,0,Jeff Mullen,Cecil Peoples,Chris Watts,29-28,29-28,27-30,1,1,0,1,1,1,1,0
18,Diego Sanchez,Jon Fitch,0,0,Richard Bertrand,Cecil Peoples,Marcos Rosales,29-28,30-27,28-29,1,1,0,4,1,1,1,0
19,Chuck Liddell,Keith Jardine,0,0,Richard Bertrand,Cecil Peoples,Marcos Rosales,29-28,29-28,28-29,1,1,0,3,1,1,1,0
20,Jason Black,Matt Grice,0,0,Nelson Hamilton,John Kloock,Jeff Mullen,29-28,28-29,29-28,1,0,1,2,1,1,0,1
21,Michael Bisping,Rashad Evans,0,0,Romulo Bittencourt,Eric Colón,Douglas Crosby,28-29,29-28,29-28,0,1,1,2,1,0,1,1
22,Keita Nakamura,Rob Emerson,0,0,Adalaide Byrd,Jeff Collins,Al Lefkowitz,30-27,28-29,30-27,1,0,1,3,1,1,0,1
23,Cheick Kongo,Heath Herring,0,0,Todd Agosta,Nelson Hamilton,Cecil Peoples,29-28,29-28,28-29,1,1,0,1,1,1,1,0
24,Rich Clementi,Sam Stout,1,1,Douglas Crosby,Sylvain LeBlanc,Pasquale Procopio,29-27,28-29,29-28,1,0,1,4,1,1,0,1
25,Jess Liaudin,Paul Taylor,0,1,Barry Foley,Jeff Mullen,Andy Roberts,28-29,29-28,29-28,0,1,1,1,0,1,0,0
26,Nate Marquardt,Thales Leites,0,0,Nelson Hamilton,Cecil Peoples,Chris Watts,28-27,28-27,27-28,1,1,0,1,1,1,1,0
27,Evan Tanner,Kendall Grove,0,0,Al Lefkowitz,Marcos Rosales,Glenn Trowbridge,28-29,30-26,30-26,0,1,1,1,1,0,1,1
28,Patrick Cote,Ricardo Almeida,1,1,Patricia Morse Jarman,Glenn Trowbridge,Tony Weeks,29-28,28-29,29-28,1,0,1,5,1,1,0,1
29,Dong Hyun Kim,Matt Brown,1,1,Douglas Crosby,Tony Mullinax,Cecil Peoples,29-28,29-28,28-29,1,1,0,4,1,1,1,0
30,Roan Carneiro,Ryo Chonan,0,1,Douglas Crosby,Chris Lee,Tony Mullinax,29-28,28-29,29-28,1,0,1,4,0,0,1,0
