Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score
Matt Hamill,Michael Bisping,306,0,Jeff Mullen,29-28,Cecil Peoples,29-28,Chris Watts,27-30
Clay Guida,Marcus Aurelio,308,1,Adalaide Byrd,28-29,Jeff Collins,30-27,Patricia Morse Jarman,30-27
Diego Sanchez,Jon Fitch,361,0,Richard Bertrand,29-28,Cecil Peoples,30-27,Marcos Rosales,28-29
Chuck Liddell,Keith Jardine,363,0,Richard Bertrand,29-28,Cecil Peoples,29-28,Marcos Rosales,28-29
Clay Guida,Tyson Griffin,368,0,Douglas Crosby,29-28,Jeff Mullen,28-29,Andy Roberts,29-28
Sam Stout,Spencer Fisher,382,1,Chris Lee,30-27,Mike Ross,30-27,Tim Vannatta,30-27
David Heath,Victor Valimaki,476,1,Nelson Hamilton,29-28,Cecil Peoples,28-29,Alejandro Rochin,29-28
Chris Lytle,Matt Serra,497,0,Lester Griffin,30-27,Marcos Rosales,30-27,Glenn Trowbridge,27-30
Carmelo Marrero,Cheick Kongo,505,1,Lester Griffin,29-28,Nelson Hamilton,29-28,Tony Weeks,28-29
Danny Abbadi,Jorge Gurgel,526,0,Nelson Hamilton,29-28,Cecil Peoples,29-28,Alejandro Rochin,29-28
Jeff Monson,Marcio Cruz,599,1,Abe Belardo,30-27,Hector Hernandez,29-28,Alejandro Rochin,28-29
Forrest Griffin,Tito Ortiz,601,0,Abe Belardo,30-27,Hector Hernandez,28-29,Cecil Peoples,29-27
Rashad Evans,Sam Hoger,611,1,Raul Porrata,28-29,Marcos Rosales,30-27,Glenn Trowbridge,29-28
BJ Penn,Georges St-Pierre,618,0,Nelson Hamilton,29-28,Cecil Peoples,28-29,Marcos Rosales,29-28
Brad Imes,Rashad Evans,654,0,Abe Belardo,29-28,Nelson Hamilton,29-28,Tony Weeks,28-29
Chris Leben,Patrick Cote,687,1,Jon Schorle,29-28,Dalby Shirley,30-27,Roy Silbert,27-29
Tito Ortiz,Vitor Belfort,723,1,Nelson Hamilton,29-28,Jeff Mullen,28-29,Cecil Peoples,29-28
Karo Parisyan,Nick Diaz,735,1,Cecil Peoples,29-28,Marcos Rosales,30-27,Dalby Shirley,28-29
Hermes Franca,Yves Edwards,776,0,Cecil Peoples,29-28,Dalby Shirley,29-28,Tony Weeks,28-29
Jason Black,Matt Grice,867,0,Nelson Hamilton,29-28,John Kloock,28-29,Jeff Mullen,29-28
Din Thomas,Matt Serra,887,1,Douglas Crosby,0-0,Nelson Hamilton,0-0,Steve Wright,0-0
Dave Kaplan,George Roop,1229,0,Sal D'Amato,30-27,Lester Griffin,30-27,Tony Weeks,28-29
Alessio Sakara,Thales Leites,1281,1,Jeff Blatnick,29-28,Nelson Hamilton,29-28,Cardo Urso,27-30
John Howard,Tamdan McCrory,1282,1,Douglas Crosby,29-28,Brad Duruttya,28-29,Cardo Urso,29-28
Evan Dunham,Marcus Aurelio,1289,1,Lester Griffin,30-27,Nelson Hamilton,29-28,Jana Richmond,28-29
Mark Munoz,Nick Catone,1290,1,Ken Barringer,28-29,Marcos Rosales,30-27,Glenn Trowbridge,29-28
Carlos Condit,Jake Ellenberger,1302,1,Sal D'Amato,29-28,Chris Lee,29-28,Cecil Peoples,28-29
Gray Maynard,Roger Huerta,1303,1,Chris Lee,28-29,Cecil Peoples,30-27,Glenn Trowbridge,30-27
Eliot Marshall,Jason Brilz,1311,1,Kent Basinger,30-27,Chris Lee,27-30,Cecil Peoples,30-27
Kyle Kingsbury,Razak Al-Hassan,1323,1,Nelson Hamilton,29-28,Cecil Peoples,29-28,Susan Thomas-Gitlin,28-29
Forrest Griffin,Tito Ortiz,1359,1,Lester Griffin,30-27,Marcos Rosales,29-28,Glenn Trowbridge,28-29
Jon Madsen,Justin Wren,1363,1,Adalaide Byrd,30-27,Sal D'Amato,28-29,Glenn Trowbridge,29-28
Aaron Simpson,Tom Lawlor,1393,1,Jeff Blatnick,28-29,Eric Colon,29-28,Sal D'Amato,29-28
Gray Maynard,Nate Diaz,1395,1,Douglas Crosby,30-27,Sal D'Amato,28-29,Cardo Urso,29-28
Jesse Forbes,Nick Catone,1396,0,Douglas Crosby,29-28,Sal D'Amato,29-28,Clark Walters,28-29
Jesse Lennox,Rick Story,1401,0,Jeff Blatnick,30-27,Eric Colon,28-29,Cardo Urso,30-27
Vladimir Matyushenko,Eliot Marshall,1435,1,Don Bates,30-27,Joe Garcia,30-27,Curtis Thrasher,28-29
Nick Osipczak,Rick Story,1462,0,Sal D'Amato,29-28,Howard Hughes,29-28,Andy Roberts,28-29
Jeremy Stephens,Sam Stout,1494,1,Pasquale Procopio,30-27,David Therien,29-28,Tony Weeks,28-29
Jason Brilz,Rogerio Nogueira,1504,0,Patricia Morse Jarman,28-29,Marcos Rosales,29-28,Tony Weeks,29-28
Evan Dunham,Tyson Griffin,1514,1,Chris Franco,30-27,Lance Gibson,29-28,Tony Weeks,28-29
Daniel Roberts,Forrest Petz,1539,1,Patricia Morse Jarman,28-29,Roy Silbert,29-28,Tony Weeks,29-28
Goran Reljic,Kendall Grove,1540,0,Patricia Morse Jarman,28-29,Cecil Peoples,29-28,Roy Silbert,30-27
Mark Munoz,Yushin Okami,1549,0,Luis Cobian,29-28,Lester Griffin,29-28,Cecil Peoples,28-29
Steve Lopez,Waylon Lowe,1846,0,Cecil Peoples,29-28,Dave Stone,28-29,Otto Torriero,29-28
Jeremy Stephens,Melvin Guillard,1848,0,Kelvin Caldwell,28-29,Sal D'Amato,29-28,Otto Torriero,30-27
Evan Dunham,Sean Sherk,1849,0,Kelvin Caldwell,28-29,Cecil Peoples,29-28,Glenn Trowbridge,29-28
Paul Taylor,Sam Stout,1975,0,Mike Beltran,29-28,Larry Landless,28-29,Cecil Peoples,30-27
Chris Camozzi,Dongi Yang,1976,1,Nelson Hamilton,29-28,Larry Landless,28-29,Cecil Peoples,29-28
Jake Shields,Martin Kampmann,1981,1,Nelson Hamilton,30-27,Unknown Judge,29-28,Unknown Judge,28-29
Duane Ludwig,Nick Osipczak,2022,1,Richard Bertrand,29-28,Howard Hughes,29-28,Chris Watts,28-29
Nik Lentz,Tyson Griffin,2027,1,Jeff Blatnick,29-28,Sal D'Amato,29-28,Nelson Hamilton,27-30
Lyoto Machida,Quinton Jackson,2030,0,Jeff Blatnick,29-28,Sal D'Amato,29-28,Nelson Hamilton,28-29
Leonard Garcia,Nam Phan,2051,1,Adalaide Byrd,29-28,Junichiro Kamijo,27-30,Tony Weeks,29-28
Dan Miller,Joe Doerksen,2068,1,Sal D'Amato,29-28,Richard DeCarufel,28-29,Tony Weeks,29-28
Antonio McKee,Jacob Volkmann,2102,0,Junichiro Kamijo,29-28,Glenn Trowbridge,29-28,Tony Weeks,28-29
Diego Nunes,Mike Brown,2103,1,Lester Griffin,28-29,Patricia Morse Jarman,29-28,Glenn Trowbridge,29-28
Carlos Eduardo Rocha,Jake Ellenberger,2190,0,Abe Belardo,29-28,Adalaide Byrd,27-30,Junichiro Kamijo,29-28
Chris Cariaso,Michael McDonald,2837,0,Adalaide Byrd,29-28,Glenn Trowbridge,29-28,Tony Weeks,27-30
Clay Harvison,Justin Edwards,2848,1,Douglas Crosby,28-29,Sal D'Amato,29-28,Glenn Trowbridge,29-28
Johny Hendricks,Mike Pierce,2945,1,Wilfredo Cintron,29-28,Douglas Crosby,28-29,Kings Kao,29-28
Consta Philippou,Jorge Rivera,2950,1,Brad Duruttya,29-28,Ray Martin,28-29,Cardo Urso,29-28
Ian Loveland,Yves Jabouin,2984,0,Douglas Crosby,29-28,Chris Lee,29-28,Andy Roberts,27-30
Edson Barboza,Ross Pearson,2993,1,Chris Lee,29-28,Andy Roberts,29-28,Paul Sutherland,28-29
Anthony Pettis,Jeremy Stephens,3090,1,Douglas Crosby,29-28,Danny Dealejandro,29-28,Charles Phillips,28-29
George Roop,Hatsu Hioki,3129,0,Dave Hagen,28-29,Patricia Morse Jarman,29-28,Cecil Peoples,29-28
Chris Cariaso,Vaughan Lee,3146,1,Mark Collett,29-28,Chris Watts,29-28,Rick Winter,28-29
Mike Pierce,Paul Bradley,3157,1,Luis Cobian,29-28,Lester Griffin,28-29,Nelson Hamilton,30-27
Gleison Tibau,Rafael Dos Anjos,3193,1,Steve English,28-29,Steve Morrow,29-28,Susan Thomas-Gitlin,30-27
Martin Kampmann,Rick Story,3202,1,Steve English,30-27,Steve Morrow,29-28,Susan Thomas-Gitlin,28-29
Walel Watson,Yves Jabouin,3223,0,Nelson Hamilton,30-27,Dr. Greg Jackson,28-29,David Therien,29-28
Brian Ebersole,Claude Patrick,3227,1,Richard Bertrand,29-28,Sal D'Amato,29-28,Nelson Hamilton,28-29
Anthony Njokuani,Danny Castillo,3244,0,Douglas Crosby,29-28,Patricia Morse Jarman,28-29,Mark Smith,29-28
Henry Martinez,Matt Riddle,3287,0,Junichiro Kamijo,29-28,Chris Lee,29-28,Cecil Peoples,28-29
Alex Caceres,Edwin Figueroa,3289,0,Sal D'Amato,28-27,Chris Lee,27-28,Glenn Trowbridge,28-27
Josh Koscheck,Mike Pierce,3293,1,Jeff Collins,29-28,Sal D'Amato,29-28,Junichiro Kamijo,28-29
Aaron Simpson,Ronny Markes,3302,0,Sal D'Amato,28-29,Steve Garrean,29-28,Glenn Trowbridge,29-28
Marcus Brimage,Maximo Blanco,3421,1,Richard Bertrand,30-27,Chris Lee,29-28,Anthony Maness,28-29
Chris Clements,Keith Wisniewski,3422,1,Derek Cleary,29-28,Ken Coffey,28-29,Cardo Urso,30-27
Eddie Yagin,Mark Hominick,3428,1,Chris Lee,29-28,Anthony Maness,29-28,Cardo Urso,28-29
Johny Hendricks,Josh Koscheck,3454,1,Ricardo Almeida,28-29,Jeff Blatnick,29-28,Cardo Urso,29-28
Amir Sadollah,Jorge Lopez,3474,1,Jeff Blatnick,28-29,Sal D'Amato,29-28,Cardo Urso,29-28
Bernardo Magalhaes,Henry Martinez,3525,0,Ric Bays,28-29,Richard Davis,29-28,Chris Lee,30-27
Lance Benoist,Seth Baczynski,3528,0,Hector Gomez,29-28,Rich Green,29-28,Barry Luxenberg,27-30
Dustin Pague,Ken Stone,3536,0,Jon Bilyk,29-28,Henry Krawiec,29-28,Carlos Rodriguez,28-29
Clay Guida,Gray Maynard,3556,0,Eric Colon,48-47,Sue Sanidad,48-47,Jose Tabora,47-48
Hugo Viana,John Macapa,3560,1,Mark Collett,29-28,Howard Hughes,29-28,Rick Winter,28-29
Dan Stittgen,Marcelo Guimaraes,3586,0,Ray Balewicz,29-28,Steve Morrow,28-29,Susan Thomas-Gitlin,29-28
Anton Kuivanen,Mitch Clarke,3615,1,Richard Bertrand,29-28,Jeff Blatnick,29-28,Sal D'Amato,28-29
Brian Ebersole,James Head,3621,0,Jeff Blatnick,29-28,Sal D'Amato,28-29,Chris Lee,29-28
Hector Lombard,Tim Boetsch,3624,0,Richard Bertrand,28-29,Sal D'Amato,29-28,Chris Lee,29-28
Cole Miller,Nam Phan,3631,0,Mike Beltran,29-28,Lester Griffin,28-29,Cecil Peoples,29-28
Benson Henderson,Frankie Edgar,3645,1,Dave Hagen,48-47,Mark Van Tine,48-47,Tony Weeks,46-49
Besam Yousef,Papy Abedi,4154,0,Jim Bergman,29-28,Howard Hughes,29-28,Andreas Ramsby,28-29
Brad Pickett,Mike Easton,4163,1,Mark Collett,30-27,Howard Hughes,30-27,Andreas Ramsby,28-29
Kelvin Gastelum,Uriah Hall,4185,1,Adalaide Byrd,29-28,Sal D'Amato,28-29,Junichiro Kamijo,29-28
Benson Henderson,Gilbert Melendez,4196,1,Michael Bell,48-47,Derek Cleary,48-47,Wade Vierra,47-48
Kevin Souza,Felipe Arantes,4445,1,Howard Hughes,28-29,Roy Silbert,29-28,Glenn Trowbridge,29-28
Ernest Chavez,Yosdenis Cedeno,4881,1,Junichiro Kamijo,30-27,Mark Smith,29-28,Tony Weeks,28-29
Wang Sai,Lipeng Zhang,4909,0,Tom Harris,27-30,Howard Hughes,29-28,Chris Watts,29-28
Robbie Peralta,Rony Jason,5208,1,Richard Bertrand,29-28,Chris Lee,30-27,Vinicius Lins,27-30
Kiichi Kunimoto,Rich Walsh,5520,1,Mark Collett,28-29,Kon Papaioannou,29-28,Tony Weeks,29-28
Marcio Alexandre Jr.,Tim Means,5775,0,Fernando Amaral,29-28,Lester Griffin,29-28,Tony Weeks,28-29
Joby Sanchez,Tateki Matsuda,5911,1,Douglas Crosby,28-29,Mike Mena,30-27,Steve Rita,29-28
Gleison Tibau,Norman Parke,5919,1,Sal D'Amato,29-28,Chris Lee,29-28,Steve Rita,28-29
Phil Davis,Ryan Bader,5929,0,Mark Collett,28-29,Mans Nilsson,29-28,Andy Roberts,29-28
Kelvin Gastelum,Tyron Woodley,5945,0,Adalaide Byrd,29-28,Chris Lee,28-29,Tony Weeks,30-27
Holly Holm,Raquel Pennington,6016,1,Derek Cleary,28-29,Ron McCarthy,30-27,Wade Vierra,29-28
Clay Collard,Tiago Trator,6430,0,Adalaide Byrd,29-28,Derek Cleary,29-28,Tony Weeks,28-29
Krzysztof Jotko,Scott Askham,6528,1,Andy Haigh,29-28,Paul Sutherland,28-29,Dean Weir,29-28
Jimmie Rivera,Pedro Munhoz,6559,1,Marco Aurelio Borges,29-28,Derek Cleary,28-29,Alessandro Vieira,29-28
Guangyou Ning,Marco Beltran,6626,0,Mark Craig,28-29,Evan Field,29-28,Garth Harriman,29-28
Ronaldo Souza,Yoel Romero,6691,0,Lester Griffin,28-29,Glenn Trowbridge,29-27,Tony Weeks,29-28
Joe Soto,Michinori Tanaka,6717,0,Adalaide Byrd,28-29,Chris Lee,29-28,Tony Weeks,29-28
Anthony Pettis,Eddie Alvarez,6739,0,Douglas Crosby,29-28,Bryan Miner,29-28,Ryan Shea,28-29
Dominick Cruz,TJ Dillashaw,6740,1,Sal D'Amato,46-49,David Ginsberg,48-47,Tony Weeks,49-46
Ashlee Evans-Smith,Marion Reneau,6810,1,Andrew Adkins,30-27,John Lapcevic,29-28,Phil Rogers,28-29
Brad Pickett,Francisco Rivera,6841,1,Ben Cartlidge,29-28,Maciej Motylewski,28-29,Paul Sutherland,29-28
Chad Laprise,Ross Pearson,6884,0,Barry Foley,29-28,Kon Papaioannou,30-27,Albert Shen,28-30
Lucas Martins,Robert Whiteford,6906,1,Jadranko Cacic,29-28,Ben Cartlidge,28-29,Andreas Gruner,30-27
Bethe Correia,Raquel Pennington,6935,0,Sal D'Amato,29-28,Richard Davis,28-29,Chris Lee,29-28
