Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score
Jess Liaudin,Paul Taylor,1011,0,Barry Foley,28-29,Jeff Mullen,29-28,Andy Roberts,29-28
Nate Marquardt,Thales Leites,1017,0,Nelson Hamilton,28-27,Cecil Peoples,28-27,Chris Watts,27-28
Keita Nakamura,Rob Emerson,956,0,Adalaide Byrd,30-27,Jeff Collins,28-29,Al Lefkowitz,30-27
Evan Tanner,Kendall Grove,1031,0,Al Lefkowitz,28-29,Marcos Rosales,30-26,Glenn Trowbridge,30-26
Rich Clementi,Sam Stout,990,1,Douglas Crosby,29-27,Sylvain Leblanc,28-29,Pasquale Procopio,29-28
Patrick Cote,Ricardo Almeida,1039,1,Patricia Morse Jarman,29-28,Glenn Trowbridge,28-29,Tony Weeks,29-28
Cheick Kongo,Heath Herring,974,0,Todd Agosta,29-28,Nelson Hamilton,29-28,Cecil Peoples,28-29
Michael Bisping,Rashad Evans,902,0,Romulo Bittencourt,28-29,Eric Colón,29-28,Douglas Crosby,29-28
Roan Carneiro,Ryo Chonan,1064,0,Douglas Crosby,29-28,Chris Lee,28-29,Tony Mullinax,29-28
Dong Hyun Kim,Matt Brown,1068,1,Douglas Crosby,29-28,Tony Mullinax,29-28,Cecil Peoples,28-29
Chris Lytle,Marcus Davis,1157,0,Chris Lee,29-28,Andy Roberts,29-28,Tim Vannatta,28-29
Alan Belcher,Ed Herman,1081,1,Douglas Crosby,29-28,Cecil Peoples,29-28,Jeff Sinnett,29-28
Dan Cramer,Matt Arroyo,1162,1,Douglas Crosby,29-28,Patricia Morse Jarman,29-28,Roy Silbert,28-29
Dan Henderson,Rich Franklin,1161,1,Chris Lee,29-28,Tim Vannatta,29-28,Chris Watts,27-30
Christian Wellisch,Jake O'Brien,1163,0,Nelson Hamilton,29-28,Cecil Peoples,29-28,Marcos Rosales,28-29
Akihiro Gono,Dan Hardy,1092,0,Chris Lee,29-28,Andy Roberts,29-28,Tim Vannatta,28-29
George Roop,Shane Nelson,1132,0,Adalaide Byrd,29-28,Al Lefkowitz,28-29,Marcos Rosales,29-28
Josh Neer,Nate Diaz,1083,0,Douglas Crosby,28-29,Jeff Mullen,29-28,Cecil Peoples,29-28
Chris Wilson,John Howard,1164,0,Patricia Morse Jarman,29-28,Cecil Peoples,28-29,Roy Silbert,29-28
Brandon Vera,Keith Jardine,1096,0,Chris Lee,28-29,Tim Vannatta,29-28,Chris Watts,29-28
Clay Guida,Nate Diaz,1167,1,Nelson Hamilton,29-28,Patricia Morse Jarman,28-29,Roy Silbert,29-28
Ryo Chonan,TJ Grant,1219,0,Nelson Hamilton,30-27,Claude Paquette,29-28,Cecil Peoples,28-29
