fighter_id,name,birthdate,aka,associations,class_weight,wins,losses,draws,wins_by_ko_tko,wins_by_submission,wins_by_decision,wins_by_other,losses_by_ko_tko,losses_by_submission,losses_by_decision,losses_by_other,country,city,weight (lbs),sex,height,height (cm)
06559ee750534044950dfe5ccbe41963,Anderson Silva,1975-04-14,The Spider,"['Team Nogueira', 'X-Gym', 'Killer Bees']",Middleweight,34,11,1,23,3,8,0,4,2,4,1,Brazil,"Curitiba, Parana",185.0,M,"6,2",187.96
391057f419744f358303319ec90a4c60,Tim Sylvia,1974-03-05,The Maine-iac,"['Team Extreme', 'Champions Gym']",Heavyweight,31,10,1,22,2,7,0,3,4,3,0,United States,"Bettendorf, Iowa",265.0,M,"6,8",203.2
41505463edc74e0f844a1bdd5aab762e,Rich Franklin,1974-10-05,Ace,['Team Extreme'],Middleweight,29,7,1,20,5,4,0,5,0,2,0,United States,"Cincinnati, Ohio",185.0,M,"6,1",185.42
18a8ecf93ba349848806165f54739a79,Brandon Vera,1977-10-10,The Truth,['Alliance MMA'],Heavyweight,16,10,1,11,1,4,0,7,0,3,0,United States,"San Diego, California",246.0,M,"6,2",187.96
653a2f841bfe40b18896cc6b7fbec244,Jorge Gurgel,1977-01-25,J.G.,['Team Jorge Gurgel'],Lightweight,14,10,0,0,10,4,0,2,2,6,0,United States,"Cincinnati, Ohio",154.0,M,"5,9",175.26
bb523a0a2a054faa8de1dc47deded099,Eric Schafer,1977-09-20,Red,['Red Schafer MMA'],Middleweight,14,8,0,4,8,1,1,4,1,3,0,United States,"Milwaukee, Wisconsin",185.0,M,"6,3",190.5
d3bd20f7cab844abb5d7ad2d80e974ef,Alan Belcher,1984-04-24,The Talent,"['Roufusport', 'Remix MMA']",Middleweight,19,8,0,11,5,3,0,2,1,5,0,United States,"Biloxi, Mississippi",185.0,M,"6,2",187.96
5419709cd13f40f7b27f6e1f9db3c036,Kalib Starnes,1975-01-06,,['Aegis Athletics'],Light Heavyweight,17,11,0,5,10,2,0,5,1,5,0,Canada,"Surrey, British Columbia",205.0,M,"6,3",190.5
ced60a9d185945ddb868c13702db1a11,Yushin Okami,1981-07-21,Thunder,['EXFIGHT'],Middleweight,36,15,0,14,3,19,1,7,1,7,0,Japan,"Fujisawa, Kanagawa",185.0,M,"6,2",187.96
acb2c5bb5dbf42ae8683d950277dc453,Ryan Jensen,1977-09-20,,['Jackson-Wink MMA'],Middleweight,21,8,0,9,12,0,0,3,5,0,0,United States,"Omaha, Nebraska",175.0,M,"5,10",177.8
dad77c2f66884e2abc892b6adfd32d70,Demian Maia,1977-11-06,,['Demian Maia Jiu-Jitsu'],Welterweight,28,11,0,3,14,11,0,2,0,9,0,Brazil,"Santana de Parnaiba, Sao Paulo",170.0,M,"6,0",182.88
75ace4766f77422e8a68f286ed8ac84e,Joshua Burkman,1980-10-04,"The People,s Warrior",['The Pit Elevated Fight Team'],Lightweight,28,18,1,7,10,11,0,2,9,7,0,United States,"Salt Lake City, Utah",155.0,M,"5,10",177.8
da019cbacbc0471db3db381be7022480,Forrest Petz,1975-09-22,The Meat Cleaver,['Strong Style Fight Team'],Middleweight,26,10,0,13,4,9,0,2,4,4,0,United States,"Cleveland, Ohio",185.0,M,"5,9",175.26
0266c5967e0548638aacbcfb68b3c71d,Jason Black,1972-08-15,The Black Legion,['Miletich Martial Arts'],Welterweight,23,4,0,6,9,4,4,1,2,1,0,United States,"Davenport, Illinois",169.0,M,"5,10",177.8
cb3253c5eb2949e0980868df25c94972,Keith Jardine,1975-10-31,The Dean of Mean,"['Jackson-Wink MMA', 'Mean1 MMA']",Middleweight,17,11,0,8,2,7,0,6,0,5,0,United States,"Albuquerque, New Mexico",185.0,M,"6,2",187.96
4e2635f80cdf483b8560db8e755c3078,Chuck Liddell,1969-12-17,The Iceman,['The Pit'],Light Heavyweight,21,9,0,13,1,7,0,7,1,1,0,United States,"San Luis Obispo, California",205.0,M,"6,2",187.96
0ed417d7543540278a892fb1d033d516,Forrest Griffin,1979-07-01,,"['Xtreme Couture', 'Throwdown']",Light Heavyweight,19,7,0,4,6,9,0,5,0,2,0,United States,"Athens, Georgia",205.0,M,"6,3",190.5
a8cf419ea93248858c2a95273a13e152,Jon Fitch,1978-02-24,,['American Kickboxing Academy'],Welterweight,32,8,1,7,5,20,0,2,4,2,0,United States,"Fort Wayne, Indiana",170.0,M,"6,0",182.88
229c7cf64c1048a8aa41ea83413d9b81,Diego Sanchez,1981-12-31,The Nightmare,['Jackson-Wink MMA'],Welterweight,30,14,0,10,6,13,1,4,0,10,0,United States,"Albuquerque, New Mexico",170.0,M,"5,10",177.8
4262a2d4cbf64714bd87c25b96739ef2,Lyoto Machida,1978-05-30,The Dragon,"['APAM', 'Team Machida']",Middleweight,26,12,0,11,2,13,0,4,2,6,0,Brazil,"Belem, Para",185.0,M,"6,1",185.42
35e5041f62184104baa762e90f18d075,Kazuhiro Nakamura,1979-07-16,King Kaz,"['Yoshida Dojo', 'Team Kaz']",Middleweight,21,13,0,5,3,13,0,4,3,6,0,Japan,"Fukuyama, Hiroshima",185.0,M,"5,11",180.34
6daa2b547ec348168eaded2538ceadd0,Thiago Tavares,1984-11-08,,['Team Tavares'],Featherweight,24,11,0,4,15,5,0,8,0,3,0,Brazil,"Florianopolis, Santa Catarina",145.0,M,"5,7",170.18
875cf3d4818840e1b95a23d578967c37,Rich Clementi,1976-03-31,No Love,['Team Voodoo'],Lightweight,45,23,0,13,23,9,0,5,8,10,0,United States,"Slidell, Lousiana",155.0,M,"5,9",175.26
20ccd4167c7c47a4a25d51a4c462a2c4,Anthony Johnson,1984-03-06,Rumble,['Kill Cliff FC'],Light Heavyweight,23,6,0,17,0,6,0,1,5,0,0,United States,"Boca Raton, Florida",205.0,M,"6,2",187.96
99e22fe125a5473d9ef45709a03d65ae,Matt Grice,1981-07-29,The Real One,['R-1 MMA'],Featherweight,15,5,0,7,3,5,0,2,2,1,0,United States,"Harrah, Oklahoma",145.0,M,"5,8",172.72
73a17290edac447a86fb6f956b848935,Jeremy Stephens,1986-05-26,Lil Heathen,['Alliance MMA'],Lightweight,29,21,1,19,2,8,0,3,5,13,0,United States,"Des Moines, Iowa",155.0,M,"5,9",175.26
5afc532bc221480cac2e7b92dc29669b,Matt Wiman,1983-09-19,Handsome,['Skrap Pack'],Lightweight,16,10,0,4,5,7,0,4,0,6,0,United States,"Tulsa, Oklahoma",155.0,M,"5,10",177.8
d9407576d754423bbebabfcbbd394b0b,Scott Junk,1978-12-17,Punk Haole,['MMA Development'],Heavyweight,8,3,1,5,2,1,0,0,2,1,0,United States,"Kailua, Hawaii",265.0,M,"6,1",185.42
2b84097e9aa84afaaf9b6b3ee7bd8a83,Michihiro Omigawa,1975-12-19,Michi,['Neo Judo Academy'],Featherweight,19,15,0,5,5,9,0,2,1,12,0,Japan,Ibaraki,145.0,M,"5,6",167.64
727f6f5e1b5f43b4bd04ebce560692f9,Christian Wellisch,1975-09-13,,['American Kickboxing Academy'],Heavyweight,8,5,0,4,3,1,0,3,1,1,0,United States,"Los Angeles, California",234.0,M,"6,2",187.96
8fb9592824d4475b9e4db0828047fcc6,Chris Leben,1980-07-21,The Crippler,['Alliance MMA'],Middleweight,22,12,0,12,5,5,0,4,2,6,0,United States,"Portland, Oregon",185.0,M,"5,11",180.34
28208ad2b38d43a28f5dbd1eb4131ebd,Diego Saraiva,1982-04-23,The Octopus,['Team Octopus'],Lightweight,22,20,0,4,14,4,0,5,0,15,0,United States,"Atlanta, Georgia",149.0,M,"5,6",167.64
91b7f6915683468b8f9aecec814fba01,Terry Martin,1980-10-10,Dangerous,['Iron Academy'],Middleweight,23,12,0,14,4,4,1,9,0,3,0,United States,"Chicago, Illinois",185.0,M,"5,7",170.18
e09dbb99abe846af8e1377abd2d186ea,Nate Diaz,1985-04-16,,['Cesar Gracie Fight Team'],Welterweight,21,13,0,5,12,4,0,2,1,10,0,United States,"Stockton, California",170.0,M,"6,0",182.88
2e9e97478f964ee4831d8c908160488d,Luke Cummo,1980-04-27,,['Serra-Longo Fight Team'],Welterweight,6,6,0,4,1,1,0,0,0,6,0,United States,"New Hyde Park, New York",170.0,M,"6,0",182.88
cffd4e9e02524e8e9b66db4b6c25b4f4,Pete Sell,1982-08-25,Drago,['Serra-Longo Fight Team'],Middleweight,10,7,0,0,4,6,0,5,0,2,0,United States,"Bay Shore, New York",179.0,M,"5,11",180.34
41068a03040c4f2b88fde424ec1d363d,Nate Quarry,1972-03-18,Rock,['Team Quest'],Middleweight,12,4,0,7,2,3,0,2,1,1,0,United States,"Gresham, Oregon",185.0,M,"6,0",182.88
1f02e7865fe04ddb825789803215bee4,Leonard Garcia,1979-07-14,Bad Boy,['Jackson-Wink MMA'],Featherweight,18,13,0,5,10,3,0,0,4,9,0,United States,"Plainview, Texas",145.0,M,"5,9",175.26
adadf77b5a2c434d9d7aa52cd200f641,Gray Maynard,1979-09-05,The Bully,['American Kickboxing Academy'],Featherweight,13,7,1,2,0,11,0,5,0,2,0,United States,"Santa Cruz, California",145.0,M,"5,8",172.72
3065aaffc3cd424f837bbe1628121aba,Edilberto de Oliveira,1982-11-22,Crocota,['Champion Team'],Welterweight,30,19,0,13,13,4,0,5,1,13,0,Brazil,"Campo Formoso, Bahia",170.0,M,"6,0",182.88
0a9c428711e9494d8a248b12f8696b71,Joe Veres,1977-11-09,,['MMA Lab'],Lightweight,4,3,0,1,1,1,1,2,1,0,0,United States,"Glendale, California",155.0,M,"5,6",167.64
b262180a44354e71ad088e9f698e5902,Dustin Hazelett,1986-04-29,McLovin,['Team Jorge Gurgel'],Lightweight,12,7,0,1,9,2,0,4,2,1,0,United States,"Cincinnati, Ohio",155.0,M,"6,1",185.42
4c9d500280054b49a92909262026b59b,Junior Assuncao,1981-06-24,,['Ascension MMA'],Lightweight,16,8,0,4,7,5,0,2,2,4,0,Brazil,,155.0,M,"5,9",175.26
0f486fd918a8476db3881d324fe95789,Jonathan Goulet,1979-07-13,The Road Warrior,['Team Legion'],Welterweight,23,12,1,12,8,3,0,10,2,0,0,Canada,"Victoriaville, Quebec",169.0,M,"6,0",182.88
69c22687ad8548b4bd2a43cbd098bf06,Quinton Jackson,1978-06-20,Rampage,['Wolfslair Academy'],Heavyweight,38,14,0,20,4,14,0,4,2,7,1,United States,"Memphis, Tennessee",265.0,M,"6,1",185.42
5387878a085045f2aec2511a3467b1e0,Thiago Alves,1983-10-03,Pitbull,['American Top Team'],Welterweight,23,15,0,13,1,9,0,3,5,7,0,Brazil,"Fortaleza, Ceara",170.0,M,"5,10",177.8
787ec4f735dd4acf951e01f364151f9d,Matt Hamill,1976-10-05,The Hammer,['Independent'],Light Heavyweight,13,8,0,7,0,5,1,4,1,3,0,United States,"Loveland, Ohio",205.0,M,"6,2",187.96
9aaed3c415c44fd3b16817942ec7945a,Cheick Kongo,1975-05-17,,['Kongo Smashin Club'],Heavyweight,31,12,1,15,4,12,0,3,1,8,0,France,Paris,242.0,M,"6,4",193.04
8c59b1fcaca14e8cbf6f0c06fac3e135,Mirko Filipovic,1974-09-10,Cro Cop,['Cro Cop Top Team'],Heavyweight,38,11,1,30,4,4,0,6,2,3,0,Croatia,Zagreb,234.0,M,"6,2",187.96
9f295b6350404c2ea5a6d73210785ac2,Houston Alexander,1972-03-22,The Assassin,"['Grudge Training Center', 'HIT Squad']",Light Heavyweight,17,16,2,14,0,3,0,10,2,4,0,United States,"Omaha, Nebraska",203.0,M,"6,0",182.88
d8938fbde72d49dfb62e73720790c266,Marcus Davis,1973-08-24,The Irish Hand Grenade,['Team Irish'],Welterweight,23,11,1,6,10,7,0,4,3,4,0,United States,"Bangor, Maine",170.0,M,"5,8",172.72
9f5ad3aec0324a48a5b530a917fff2ad,Kuniyoshi Hironaka,1976-06-17,,['Master Japan'],Lightweight,23,9,0,7,8,8,0,6,1,2,0,Japan,"Yamaguchi, Yamaguchi",153.0,M,"5,10",177.8
7a18f6dcf5404852ba1977bcde7adfa6,Alessio Sakara,1981-09-02,Legionarius,['American Top Team'],Light Heavyweight,21,13,2,15,2,4,0,6,3,3,1,Italy,"Rome, Lazio",205.0,M,"6,1",185.42
716bd3e21b3a4915a0810417725c1835,Gleison Tibau,1983-07-10,,['American Top Team'],Welterweight,37,19,0,4,15,18,0,5,2,11,1,Brazil,"Mossoro, Rio Grande do Norte",170.0,M,"5,10",177.8
0aa20a61715e47d385cfc10abe6dbdde,Tomasz Drwal,1982-01-22,Gorilla,['Szkola Walki Drwala'],Middleweight,22,6,0,14,5,3,0,3,2,1,0,Poland,Krakow,185.0,M,"6,1",185.42
e688db5a4ff1466b91ed605ff57c4f80,Dennis Siver,1979-01-13,,['Kiboju'],Featherweight,23,11,1,7,7,9,0,3,5,3,0,Germany,Mannheim,145.0,M,"5,7",170.18
0175c3d0998a4108941bcd9e7a3e757a,Naoyuki Kotani,1981-12-08,,['Rodeo Style'],Lightweight,37,19,0,6,27,4,0,10,2,7,0,Japan,"Yokosuka, Kanagawa",155.0,M,"5,8",172.72
d5bc0073c69c4f67b63bb4f44c9aae3f,Jess Liaudin,1973-12-21,The Joker,['Pancrase London'],Welterweight,20,11,0,5,12,3,0,6,1,4,0,France,"Evry, Ile-de-France",170.0,M,"5,9",175.26
192a09cbc233481bbe5771ecab64459a,Paul Taylor,1982-11-12,,['Kill Cliff FC'],Heavyweight,21,9,3,15,1,5,0,4,1,4,0,Brazil,"Sao Carlos, Sao Paulo",223.0,M,"6,1",185.42
dcea19a67128486c8deacf0df0efd11b,Gabriel Gonzaga,1979-05-18,Napao,['Team Link'],Heavyweight,17,12,0,9,7,1,0,10,0,2,0,Brazil,Rio de Janeiro,264.0,M,"6,2",187.96
07e1eedecb4a466b956e9334d4e959c8,Georges St. Pierre,1981-05-19,Rush,['Tristar Gym'],Welterweight,26,2,0,8,6,12,0,1,1,0,0,Canada,"St. Isidore, Quebec",170.0,M,"5,10",177.8
0c053d6385a04e09a6c63ce7f857bf69,Randy Couture,1963-06-22,The Natural,['Xtreme Couture'],Light Heavyweight,19,11,0,7,4,8,0,7,3,1,0,United States,"Corvallis, Oregon",203.0,M,"6,1",185.42
1ada8ab8ae964e0c8e2ce8b7884da1ec,Thiago Silva,1978-07-31,The Crush,['MMA Development'],Welterweight,5,3,0,2,2,0,1,1,0,2,0,United States,"Kailua, Hawaii",170.0,M,"5,10",177.8
04a6e56542ae428f9b5760ae52d4c287,Alberto Crane,1976-07-14,,"['Alberto Crane MMA', 'Gracie Barra Burbank']",Lightweight,15,5,0,0,14,1,0,3,0,2,0,United States,"Santa Fe, New Mexico",155.0,M,"5,9",175.26
df30b20819ba4bf5bcad84b3d7a07002,Josh Koscheck,1977-11-30,Kos,['Dethrone Base Camp'],Welterweight,17,11,0,6,4,7,0,4,3,4,0,United States,"Buffalo, New York",170.0,M,"5,10",177.8
a24af7be43524c6e8780063a864ff8dc,Joe Stevenson,1982-06-15,Daddy,"[""Joe Stevenson's Cobra Kai""]",Lightweight,33,16,0,9,13,11,0,2,5,9,0,United States,"Victorville, California",155.0,M,"5,7",170.18
3df356dce49f4ba99ab5529cfb859332,Kurt Pellegrino,1979-05-07,Batman,['Pellegrino MMA'],Lightweight,16,7,0,2,10,4,0,1,3,3,0,United States,"Point Pleasant, New Jersey",155.0,M,"5,8",172.72
c201be27551f47b7aff0b58e7e6d3b6f,Patrick Cote,1980-02-29,The Predator,['BTT Canada'],Welterweight,23,11,0,10,3,9,1,2,3,6,0,Canada,"Quebec City, Quebec",170.0,M,"5,11",180.34
4ee67508b9ce4392b1ed5f4770469390,Renato Sobral,1975-09-07,Babalu,"[""Babalu's Iron Gym"", 'Kings MMA']",Light Heavyweight,37,12,0,9,15,13,0,7,1,4,0,Brazil,Rio de Janeiro,205.0,M,"6,0",182.88
6699fd46f93b4225b35ce9af0aab5aef,David Heath,1976-10-02,The Headhunter,['Absolute Combat Alliance'],Light Heavyweight,18,7,0,7,8,3,0,1,3,3,0,United States,"Tulsa, Oklahoma",203.0,M,"5,11",180.34
564affa9d3e64fe1a93ac3bfbbbc0947,Anthony Torres,1978-07-31,The Crush,['MMA Development'],Welterweight,5,3,0,2,2,0,1,1,0,2,0,United States,"Kailua, Hawaii",170.0,M,"5,10",177.8
feacc4ab280e467abfb3f2dcfeb40cd7,Frank Mir,1979-05-24,,['Frank Mir Gym'],Heavyweight,19,13,0,5,9,4,1,10,0,3,0,United States,"Las Vegas, Nevada",262.0,M,"6,3",190.5
16693e69645f4baca7dfb43fef58ce50,Clay Guida,1981-12-08,The Carpenter,['Team Alpha Male'],Lightweight,38,24,0,7,14,16,1,2,11,10,1,United States,"Round Lake, Illinois",155.0,M,"5,7",170.18
ccbcba0ef4b843d58183a7b4048c0231,Marcus Aurelio,1973-08-18,Maximus,['Elite Mixed Fighters'],Welterweight,22,10,0,5,14,3,0,0,0,10,0,Brazil,"Fortaleza, Ceara",170.0,M,"5,10",177.8
1fefdc0a0c854fb58ad67b903b208e36,Nate Marquardt,1979-04-20,The Great,['High Altitude Martial Arts'],Middleweight,36,20,0,13,15,8,0,6,2,12,0,United States,"Aurora, Colorado",185.0,M,"6,0",182.88
016fd5f72e1b46e5b88036919b3669c1,Sean Sherk,1973-08-05,The Muscle Shark,['Minnesota Martial Arts Academy'],Lightweight,36,4,0,10,11,15,0,2,0,2,0,United States,"Minneapolis, Minnesota",155.0,M,"5,6",167.64
