Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff,Fight_ID,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score,F1_media_votes,F2_media_votes,media_votes_draw,media_votes_count,media_votes_correct
2003-02-28,bba678d312590087,3,Din Thomas,Matt Serra,1,1,0,29,61,59,92,0,0,105,2003-02-28 00:00:00,0,0,26,81,42,97,1,28,86,0,3,-20,17,-5,-1,-28,19,887,Douglas Crosby,0-0,Nelson Hamilton,0-0,Steve Wright,0-0,1,0,0,0,False
2004-04-02,e8fb8e53bc2e29d6,3,Hermes Franca,Yves Edwards,0,1,0,8,44,63,104,4,10,227,2004-04-02 00:00:00,1,0,21,43,66,92,0,0,291,0,13,-1,3,-12,-4,-10,64,776,Cecil Peoples,29-28,Dalby Shirley,29-28,Tony Weeks,28-29,1,0,0,0,False
2004-08-21,b4bc2e3353a770b5,3,Karo Parisyan,Nick Diaz,1,1,0,27,79,48,104,9,15,414,2004-08-21 00:00:00,0,0,37,102,121,189,1,2,78,0,-10,-23,-73,-85,8,13,336,735,Cecil Peoples,29-28,Marcos Rosales,30-27,Dalby Shirley,28-29,1,0,0,0,False
2005-02-05,85d905f7c4f5a1af,3,Tito Ortiz,Vitor Belfort,1,1,0,27,47,101,130,4,11,563,2005-02-05 00:00:00,0,0,19,38,44,65,0,0,186,0,8,9,57,65,4,11,377,723,Nelson Hamilton,29-28,Jeff Mullen,28-29,Cecil Peoples,29-28,1,0,0,0,False
2005-08-06,3f24c96753dbd9f9,3,Chris Leben,Patrick Cote,1,1,0,26,63,185,234,1,5,547,2005-08-06 00:00:00,0,0,26,63,30,67,1,2,121,0,0,0,155,167,0,3,426,687,Jon Schorle,29-28,Dalby Shirley,30-27,Roy Silbert,27-29,1,0,0,1,True
2005-11-05,31ceaf0e670c1578,3,Brad Imes,Rashad Evans,0,1,0,42,164,45,168,2,3,95,2005-11-05 00:00:00,1,2,48,96,53,103,0,0,128,2,6,-68,8,-65,-2,-3,33,654,Abe Belardo,29-28,Nelson Hamilton,29-28,Tony Weeks,28-29,0,1,0,1,True
2006-03-04,0e9869d712e81f8f,3,Bj Penn,Georges St-Pierre,0,1,0,37,85,101,156,1,1,18,2006-03-04 00:00:00,1,0,59,135,135,212,4,5,445,0,22,50,34,56,3,4,427,618,Nelson Hamilton,29-28,Cecil Peoples,28-29,Marcos Rosales,29-28,0,2,0,2,True
2006-03-04,0e9869d712e81f8f,3,Sam Stout,Spencer Fisher,1,1,0,62,183,76,199,0,0,60,2006-03-04 00:00:00,0,0,53,148,77,172,4,9,259,0,9,35,-1,27,-4,-9,-199,382,Chris Lee,30-27,Mike Ross,30-27,Tim Vannatta,30-27,0,1,0,1,True
2006-04-06,b361180739bed4b0,3,Rashad Evans,Sam Hoger,1,1,0,23,72,46,95,9,11,563,2006-04-06 00:00:00,0,0,18,72,59,113,0,1,3,0,5,0,-13,-18,9,10,560,611,Raul Porrata,28-29,Marcos Rosales,30-27,Glenn Trowbridge,29-28,2,0,0,2,True
2006-04-15,03688dc3c3af3ac1,3,Jeff Monson,Marcio Cruz,1,1,0,32,110,154,240,2,2,369,2006-04-15 00:00:00,0,0,40,106,51,118,0,5,69,0,-8,4,103,122,2,-3,300,599,Abe Belardo,30-27,Hector Hernandez,29-28,Alejandro Rochin,28-29,0,1,0,1,True
2006-04-15,03688dc3c3af3ac1,3,Forrest Griffin,Tito Ortiz,0,1,0,58,170,81,200,0,0,14,2006-04-15 00:00:00,1,0,61,125,94,163,3,12,301,0,3,-45,13,-37,3,12,287,601,Abe Belardo,30-27,Hector Hernandez,28-29,Cecil Peoples,29-27,1,0,1,2,True
2006-04-15,03688dc3c3af3ac1,3,Forrest Griffin,Tito Ortiz,0,1,0,58,170,81,200,0,0,14,2006-04-15 00:00:00,1,0,61,125,94,163,3,12,301,0,3,-45,13,-37,3,12,287,1359,Lester Griffin,30-27,Marcos Rosales,29-28,Glenn Trowbridge,28-29,4,1,0,5,True
2006-09-23,13e62d766b709aa6,3,Danny Abbadi,Jorge Gurgel,0,1,0,56,146,79,173,0,0,110,2006-09-23 00:00:00,1,0,58,159,101,208,1,7,123,0,2,13,22,35,1,7,13,526,Nelson Hamilton,29-28,Cecil Peoples,29-28,Alejandro Rochin,29-28,1,0,0,0,False
2006-10-14,13b2f59210dda9cc,3,Carmelo Marrero,Cheick Kongo,1,1,0,16,31,70,88,6,10,542,2006-10-14 00:00:00,0,0,18,42,70,94,0,2,165,0,-2,-11,0,-6,6,8,377,505,Lester Griffin,29-28,Nelson Hamilton,29-28,Tony Weeks,28-29,1,0,0,1,True
