Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score,F1_media_votes,F2_media_votes,media_votes_draw,media_votes_count,media_votes_correct
Jon Tuck,Josh Emmett,6966,0,Ben Cartlidge,29-28,Andreas Gruner,28-29,Maciej Motylewski,29-28,0.0,12.0,1.0,13.0,True
Renato Moicano,Zubaira Tukhugov,6976,1,Joseph Terrell,29-28,Glenn Trowbridge,29-28,Alessandro Vieira,28-29,16.0,0.0,0.0,16.0,True
Corey Anderson,Mauricio Rua,6992,0,Hallison Pontes,28-29,Joseph Terrell,29-28,Otto Torriero,29-28,17.0,2.0,2.0,21.0,True
Aljamain Sterling,Bryan Caraway,7022,0,Adalaide Byrd,28-29,Dave Hagen,29-28,Tony Weeks,29-28,1.0,11.0,13.0,25.0,True
Jorge Masvidal,Lorenz Larkin,7028,0,Adalaide Byrd,28-29,Dave Hagen,29-28,Glenn Trowbridge,29-28,2.0,17.0,0.0,19.0,True
Sean Strickland,Tom Breese,7036,1,Michael Bell,28-29,Jeff Mullen,29-28,Wade Vierra,29-28,12.0,9.0,1.0,22.0,True
Jason Saggo,Leandro Silva,7077,1,Douglas Crosby,29-28,Pasquale Procopio,29-28,David Therien,28-29,16.0,1.0,0.0,17.0,True
Anthony Birchak,Dileno Lopes,7110,1,Derek Cleary,29-28,Lester Griffin,27-30,Patricia Morse Jarman,29-28,12.0,1.0,1.0,14.0,True
John Makdessi,Mehdi Baghdad,7111,1,Sal D'Amato,28-29,Junichiro Kamijo,29-28,Tony Weeks,29-28,2.0,8.0,2.0,12.0,True
Derrick Lewis,Roy Nelson,7115,1,Adalaide Byrd,28-29,Dave Hagen,29-28,Glenn Trowbridge,29-28,12.0,5.0,0.0,17.0,True
John Moraga,Matheus Nicolau,7129,0,Lester Griffin,29-28,Chris Lee,29-28,Jeff Mullen,28-29,0.0,17.0,1.0,18.0,True
Jason Knight,Jim Alers,7181,1,Matt Janecek,29-28,Gabriel Sabaitis,29-28,Rick Winter,28-29,15.0,0.0,0.0,15.0,True
Fredy Serrano,Ryan Benoit,7213,0,Ken Coffey,29-28,James Corbett,29-28,Chris Lee,28-29,6.0,16.0,0.0,22.0,True
Karolina Kowalkiewicz,Rose Namajunas,7219,1,Ken Coffey,29-28,Chris Lee,28-29,Jeff Mullen,29-28,23.0,1.0,0.0,24.0,True
Danielle Taylor,Maryna Moroz,7227,0,Derek Cleary,29-28,Dan Furse,28-29,Rich Montanez,30-27,2.0,13.0,1.0,16.0,True
Alex Caceres,Yair Rodriguez,7232,0,Derek Cleary,46-49,Glenn Trowbridge,48-47,Tony Weeks,48-47,0.0,19.0,0.0,19.0,True
Alessio Di Chirico,Garreth McLellan,7258,1,John Cooper,29-28,David Therien,29-28,Tony Weeks,28-29,16.0,0.0,0.0,16.0,True
Enrique Barzola,Kyle Bochniak,7259,0,John Cooper,29-28,Dave Hagen,29-28,David Therien,27-30,14.0,0.0,0.0,14.0,True
Jim Miller,Joe Lauzon,7261,1,Dave Hagen,28-29,David Therien,29-28,Tony Weeks,29-28,2.0,24.0,0.0,26.0,True
Jessin Ayari,Jim Wallhead,7271,1,Ben Cartlidge,28-29,Takeo Kobayashi,29-28,Paul Sutherland,30-27,4.0,8.0,1.0,13.0,True
Brad Tavares,Caio Magalhaes,7280,1,Derek Cleary,30-27,Eric Colon,29-28,Rick Winter,28-29,16.0,1.0,0.0,17.0,True
Bethe Correia,Jessica Eye,7282,1,Derek Cleary,29-28,Eric Colon,29-28,Sal D'Amato,28-29,6.0,12.0,0.0,18.0,True
Kenny Robertson,Roan Carneiro,7311,0,Guadalupe Chapa,28-29,Hector Maldonado,30-27,Marcos Rosales,29-28,5.0,7.0,1.0,13.0,True
Kelly Faszholz,Ketlen Vieira,7343,0,Rick Campos,29-28,Sal D'Amato,29-28,Jeff Mullen,28-29,0.0,18.0,0.0,18.0,True
Shamil Abdurakhimov,Walt Harris,7348,1,Sal D'Amato,29-28,Dave Hagen,29-28,Marcos Rosales,28-29,11.0,5.0,2.0,18.0,True
Joshua Burkman,Zak Ottow,7352,0,Sal D'Amato,29-28,Jeff Mullen,29-28,Glenn Trowbridge,28-29,0.0,18.0,0.0,18.0,True
John Dodson,John Lineker,7354,0,Sal D'Amato,48-47,Marcos Rosales,47-48,Glenn Trowbridge,48-47,8.0,15.0,0.0,23.0,True
Adriano Martins,Leonardo Santos,7368,0,Maciej Motylewski,28-29,Jeff Mullen,29-28,Paul Sutherland,29-28,8.0,6.0,4.0,18.0,True
Jason Novelli,Polo Reyes,7420,0,Jeff Mullen,29-28,Brian Puccillo,29-28,Marcos Rosales,28-29,,,,,
Erik Perez,Felipe Arantes,7425,1,Sal D'Amato,29-28,Jeff Mullen,29-28,Marcos Rosales,28-29,11.0,4.0,0.0,15.0,True
Katlyn Cerminara,Liz Carmouche,7455,0,Chris Lee,29-28,Glenn Trowbridge,28-29,Cardo Urso,29-28,,,,,
Alexander Volkov,Tim Johnson,7476,1,Howard Hughes,29-28,Takeo Kobayashi,29-28,Peter Lavery,27-30,,,,,
Ross Pearson,Stevie Ray,7477,0,Andreas Gruner,27-30,Pawel Harasim,30-27,Takeo Kobayashi,30-27,1.0,12.0,0.0,13.0,True
Sergio Moraes,Zak Ottow,7490,1,Guilherme Bravo,30-27,Hallison Pontes,28-29,Joseph Terrell,30-27,9.0,4.0,0.0,13.0,True
Damien Brown,Jon Tuck,7514,1,Anthony Dimitriou,29-28,Evan Field,29-28,Christopher Shen,28-29,6.0,6.0,0.0,12.0,True
Danielle Taylor,Seo Hee Ham,7516,1,Anthony Dimitriou,30-27,Evan Field,30-27,Christopher Shen,28-29,3.0,14.0,0.0,17.0,True
Andrew Holbrook,Jake Matthews,7520,1,Anthony Dimitriou,29-28,Evan Field,29-28,Charlie Keech,28-29,10.0,5.0,0.0,15.0,True
Brandon Moreno,Ryan Benoit,7552,1,Junichiro Kamijo,29-28,Jeff Mullen,29-28,Rick Winter,28-29,18.0,0.0,0.0,18.0,True
Henry Cejudo,Joseph Benavidez,7559,0,Derek Cleary,29-27,Marcos Rosales,27-29,Glenn Trowbridge,30-26,5.0,5.0,9.0,19.0,True
Dustin Ortiz,Zach Makovsky,7578,1,Patrick Buckley,29-28,Pasquale Procopio,29-28,David Therien,28-29,15.0,0.0,0.0,15.0,True
Valerie Letourneau,Viviane Pereira,7582,0,Eric Colon,29-28,Dr. Greg Jackson,28-29,Cardo Urso,29-28,11.0,4.0,3.0,18.0,True
Bojan Velickovic,Sultan Aliev,7595,0,Mike Guingona,30-27,Ron McCarthy,30-27,Brandon Saucedo,28-29,1.0,14.0,0.0,15.0,True
Dong Hyun Kim,Tarec Saffiedine,7614,1,Derek Cleary,29-28,Jeff Mullen,29-28,Glenn Trowbridge,27-30,2.0,16.0,2.0,20.0,True
Augusto Mendes,Frankie Saenz,7661,1,Chris Flores,29-28,Brad Frank,28-29,Dennis O'Connell,29-28,12.0,4.0,0.0,16.0,True
Joe Lauzon,Marcin Held,7665,1,Derek Cleary,27-30,Jeff Mullen,29-28,Marcos Rosales,29-28,0.0,17.0,1.0,18.0,True
Alexandre Pantoja,Eric Shelton,7687,1,Joe Garcia,29-28,Ron Mann,28-29,Ben Ramirez,29-28,15.0,0.0,0.0,15.0,True
Aljamain Sterling,Raphael Assuncao,7697,0,Hale Hilsabeck,29-28,Ron Mann,29-28,Ben Ramirez,28-29,3.0,14.0,1.0,18.0,True
Ovince Saint Preux,Volkan Oezdemir,7740,0,Sal D'Amato,28-29,JJ Ferraro,29-28,Joe Soliz,29-28,14.0,2.0,0.0,16.0,True
Phillipe Nover,Rick Glenn,7765,0,Derek Cleary,29-28,Douglas Crosby,27-30,Sal D'Amato,29-28,6.0,10.0,0.0,16.0,True
Carla Esparza,Randa Markos,7796,0,Hubert Earle,29-28,Robert MacAvoy,28-29,Don Robinson,29-28,19.0,4.0,0.0,23.0,True
Albert Morales,Andre Soukhamthath,7822,1,Sal D'Amato,29-28,Dave Hagen,29-28,Patricia Morse Jarman,28-29,17.0,4.0,0.0,21.0,True
Daniel Kelly,Rashad Evans,7830,1,Derek Cleary,29-28,Dave Hagen,29-28,Chris Lee,28-29,19.0,3.0,0.0,22.0,True
Brad Scott,Scott Askham,7853,1,Ben Cartlidge,29-28,Takeo Kobayashi,29-28,Andy Roberts,28-29,6.0,9.0,0.0,15.0,True
Daniel Omielanczuk,Tim Johnson,7856,0,Ben Cartlidge,30-27,Pawel Harasim,28-29,Takeo Kobayashi,29-28,0.0,14.0,0.0,14.0,True
Arnold Allen,Makwan Amirkhani,7859,1,Mark Collett,30-27,Howard Hughes,28-29,Paul Sutherland,30-27,17.0,0.0,0.0,17.0,True
Irene Aldana,Katlyn Cerminara,7965,0,Derek Cleary,28-29,Eric Colon,29-28,Jeff Mullen,29-28,10.0,7.0,0.0,17.0,True
Elizeu Zaleski dos Santos,Lyman Good,8320,1,Douglas Crosby,30-27,Jeff Mullen,30-27,Cardo Urso,28-29,5.0,8.0,0.0,13.0,True
Gian Villante,Patrick Cummins,8322,0,Sal D'Amato,28-29,Jeff Mullen,29-28,Dave Tirelli,29-28,0.0,16.0,0.0,16.0,True
Darren Elkins,Dennis Bermudez,8323,1,Douglas Crosby,29-28,Bryan Miner,28-29,Dave Tirelli,29-28,7.0,9.0,1.0,17.0,True
Zu Anyanwu,Justin Ledet,8414,0,Dave Brogan,29-28,Eric Colon,28-29,Cardo Urso,29-28,0.0,14.0,0.0,14.0,True
Ronaldo Souza,Kelvin Gastelum,9052,0,Guilherme Bravo,29-28,Sal D'Amato,28-29,Chris Lee,29-28,10.0,10.0,3.0,23.0,True
Martin Day,Liu Pingyuan,9535,0,Mark Craig,29-28,Barry Foley,28-29,Garth Harriman,29-28,8.0,4.0,1.0,13.0,True
Jessica Eye,Katlyn Cerminara,9631,1,Dr. Greg Jackson,29-28,Benoit Roussel,28-29,Declan Woods,29-28,8.0,6.0,0.0,14.0,True
Magomed Bibulatov,Rogerio Bontorin,9720,0,Michael Bell,29-28,Guilherme Bravo,28-29,Joseph Terrell,29-28,8.0,10.0,0.0,18.0,True
Gerald Meerschaert,Kevin Holland,9942,0,Greg Monskie,29-28,Dave Tirelli,28-29,Cardo Urso,30-27,14.0,3.0,0.0,17.0,True
Cub Swanson,Shane Burgos,10029,0,Eric Colon,29-28,David Therien,27-30,Declan Woods,30-27,3.0,14.0,0.0,17.0,True
Jon Jones,Thiago Santos,10243,1,Michael Bell,48-47,Derek Cleary,48-47,Junichiro Kamijo,47-48,14.0,4.0,0.0,18.0,True
Karl Roberson,Wellington Turman,10268,1,Michael Bell,29-28,Derek Cleary,28-29,Wade Vierra,29-28,3.0,9.0,0.0,12.0,True
Domingo Pilarte,Felipe Colares,10272,0,Jennie Cardenas,28-29,Gino Garcia,29-28,Marcos Rosales,29-28,10.0,2.0,0.0,12.0,True
Irene Aldana,Raquel Pennington,10277,0,Ruben Carrion,28-29,Perry Hillin,29-28,Marcos Rosales,29-28,4.0,9.0,0.0,13.0,True
Krzysztof Jotko,Marc-Andre Barriault,10292,1,Derek Cleary,29-28,Kevin Dornan,28-29,Dave Hagen,29-28,13.0,2.0,0.0,15.0,True
Chris Gutierrez,Geraldo de Freitas,10312,1,Phillipe Iorio,29-28,Joseph Terrell,27-30,Tony Weeks,29-28,4.0,7.0,0.0,11.0,True
Bobby Moffett,Enrique Barzola,10323,0,Eric Colon,28-29,Phillipe Iorio,30-27,Joseph Terrell,29-28,5.0,7.0,0.0,12.0,True
Mike Perry,Vicente Luque,10329,0,Guilherme Bravo,28-29,Eric Colon,29-28,Joseph Terrell,29-28,2.0,15.0,0.0,17.0,True
Brandon Davis,Kyung Ho Kang,10332,0,Derek Cleary,29-28,Luis Cobian,28-29,Ron McCarthy,29-28,0.0,16.0,0.0,16.0,True
Karol Rosa,Lara Procopio,10357,1,Garth Harriman,29-28,Howard Hughes,30-27,Albert Shen,28-29,10.0,0.0,0.0,10.0,True
Mizuki Inoue,Wu Yanan,10363,1,Barry Foley,29-28,Garth Harriman,29-28,Albert Shen,28-29,,,,,
Andrea Lee,Joanne Wood,10396,0,Ben Cartlidge,28-29,Pawel Harasim,30-27,Maria Makhmutova,29-28,3.0,13.0,0.0,16.0,True
Edson Barboza,Paul Felder,10400,0,Howie Booth,27-30,David Lethaby,29-28,Maria Makhmutova,30-27,13.0,3.0,0.0,16.0,True
Cole Smith,Miles Johns,10433,0,Michael Bell,29-28,Derek Cleary,28-29,Dave Hagen,29-28,6.0,6.0,0.0,12.0,True
Antonio Carlos Junior,Uriah Hall,10436,0,Michael Bell,29-28,Sal D'Amato,28-29,David Therien,29-28,6.0,9.0,1.0,16.0,True
Glover Teixeira,Nikita Krylov,10439,1,Michael Bell,28-29,Sal D'Amato,29-28,Dave Hagen,29-28,12.0,4.0,0.0,16.0,True
Brandon Davis,Giga Chikadze,10456,0,Nicolaj Bulow,29-28,Andreas Gruner,28-29,Cezary Wojciechowski,29-28,0.0,11.0,0.0,11.0,True
Dhiego Lima,Luke Jumeau,10528,1,Garth Harriman,28-29,Charlie Keech,29-28,Christopher Shen,29-28,18.0,0.0,0.0,18.0,True
Eryk Anders,Gerald Meerschaert,10548,1,Derek Cleary,28-29,Michelle Olney,29-28,Tony Weeks,29-28,2.0,13.0,0.0,15.0,True
Luis Pena,Matt Frevola,10549,0,Chris Lee,28-29,Daniel Torres,29-28,Tony Weeks,29-28,6.0,8.0,0.0,14.0,True
Darren Stewart,Deron Winn,10570,1,Eric Colon,29-28,Nick Mahmood,29-28,Dave Tirelli,28-29,6.0,6.0,0.0,12.0,True
Ashley Yoder,Randa Markos,10595,0,Mark Collett,29-28,Evan Field,28-29,Howard Hughes,29-28,0.0,10.0,0.0,10.0,True
Alexandra Albu,Loma Lookboonmee,10596,0,Mark Collett,30-27,Barry Foley,28-29,Pawel Harasim,30-27,,,,,
Hakeem Dawodu,Julio Arce,10628,1,Derek Cleary,29-28,Eric Colon,29-28,Chris Lee,28-29,17.0,0.0,0.0,17.0,True
Blagoy Ivanov,Derrick Lewis,10636,0,Eric Colon,28-29,Chris Lee,29-28,Dave Tirelli,30-27,0.0,15.0,0.0,15.0,True
Darren Till,Kelvin Gastelum,10640,1,Eric Colon,29-28,Chris Lee,30-27,Dave Tirelli,27-30,16.0,0.0,0.0,16.0,True
Davey Grant,Grigorii Popov,10655,1,Lukasz Bosacki,29-28,Howard Hughes,29-28,Paul Sutherland,28-29,,,,,
Klidson Abreu,Shamil Gamzatov,10662,0,Lukasz Bosacki,28-29,Howard Hughes,29-28,Paul Sutherland,29-28,8.0,5.0,0.0,13.0,True
Ronaldo Souza,Jan Blachowicz,10698,0,Sal D'Amato,48-47,Chris Lee,48-47,Hallison Pontes,47-48,7.0,9.0,0.0,16.0,True
Jose Aldo,Marlon Moraes,10779,0,Michael Bell,28-29,Eric Colon,29-28,Mark Smith,29-28,9.0,9.0,0.0,18.0,True
Heili Alateng,Ryan Benoit,10783,1,Ben Cartlidge,29-28,Anthony Dimitriou,29-28,Evan Field,28-29,4.0,0.0,0.0,4.0,True
Kyung Ho Kang,Liu Pingyuan,10790,1,Ben Cartlidge,29-28,Evan Field,28-29,Paul Sutherland,30-27,6.0,0.0,0.0,6.0,True
Aleksandar Rakic,Volkan Oezdemir,10794,0,Mark Collett,29-28,Anthony Dimitriou,29-28,Evan Field,28-29,7.0,1.0,0.0,8.0,True
JJ Aldrich,Sabina Mazo,10821,0,Adalaide Byrd,29-28,Junichiro Kamijo,29-28,Chris Lee,28-29,8.0,6.0,0.0,14.0,True
Andre Ewell,Jonathan Martinez,10867,1,Danny Dealejandro,29-28,JJ Ferraro,28-29,Joe Soliz,30-27,0.0,13.0,0.0,13.0,True
Andrea Lee,Lauren Murphy,10870,0,Danny Dealejandro,30-27,Chris Lee,28-29,Patrick Patlan,29-28,12.0,0.0,0.0,12.0,True
James Krause,Trevin Giles,10872,0,JJ Ferraro,29-28,Patrick Patlan,28-29,Joe Soliz,29-28,2.0,7.0,2.0,11.0,True
Dan Ige,Mirsad Bektic,10874,1,JJ Ferraro,29-28,Patrick Patlan,28-29,Marcos Rosales,29-28,10.0,1.0,2.0,13.0,True
Brad Riddell,Magomed Mustafaev,10924,1,Howie Booth,29-28,Barry Foley,28-29,Luke Hill,29-28,5.0,4.0,2.0,11.0,True
Dan Hooker,Paul Felder,10928,1,Barry Foley,47-48,Howard Hughes,48-47,David Lethaby,48-47,4.0,12.0,1.0,17.0,True
Giga Chikadze,Jamall Emmers,10976,1,Eric Colon,29-28,Junichiro Kamijo,29-28,Tony Weeks,28-29,10.0,4.0,0.0,14.0,True
Alex Oliveira,Max Griffin,10981,1,Sal D'Amato,28-29,Dave Hagen,29-28,Chris Lee,29-28,12.0,5.0,0.0,17.0,True
Joanna Jedrzejczyk,Weili Zhang,10984,0,Michael Bell,48-47,Derek Cleary,48-47,Eric Colon,47-48,,,,,
Ryan Spann,Sam Alvey,11015,1,Sal D'Amato,29-28,Chris Lee,28-29,Dave Tirelli,29-28,15.0,3.0,0.0,18.0,True
Carla Esparza,Michelle Waterson,11018,1,Sal D'Amato,29-28,Howard Reichbach,30-27,Dave Tirelli,27-30,8.0,9.0,0.0,17.0,True
Aleksei Oleinik,Fabricio Werdum,11019,1,Derek Cleary,28-29,Chris Lee,29-28,Barry Luxenberg,29-28,10.0,4.0,0.0,14.0,True
Ray Borg,Ricky Simon,11032,0,Derek Cleary,29-28,Sal D'Amato,29-28,Dave Tirelli,28-29,0.0,16.0,0.0,16.0,True
Ben Rothwell,Ovince Saint Preux,11034,1,Derek Cleary,29-28,Sal D'Amato,28-29,Dave Tirelli,29-28,14.0,2.0,0.0,16.0,True
Dan Ige,Edson Barboza,11044,1,Derek Cleary,29-28,Sal D'Amato,29-28,Troy Wincapaw,28-29,2.0,16.0,0.0,18.0,True
Angela Hill,Claudia Gadelha,11045,0,Sal D'Amato,28-29,Chris Lee,29-28,Dave Tirelli,29-28,13.0,4.0,0.0,17.0,True
Augusto Sakai,Blagoy Ivanov,11056,1,Michael Bell,27-30,Junichiro Kamijo,29-28,Ron McCarthy,29-28,10.0,3.0,0.0,13.0,True
Guram Kutateladze,Mateusz Gamrot,11441,1,David Lethaby,28-29,Darryl Ransom,29-28,Victor Wolf,29-28,14.0,3.0,0.0,17.0,True
Geraldo de Freitas,Tony Gravely,11519,0,Michael Bell,29-28,Sal D'Amato,28-29,Dave Hagen,30-27,1.0,15.0,0.0,16.0,True
