Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,Judge-1-Name,F1_Judge-1-Score,Judge-2-Name,F1_Judge-2-Score,Judge-3-Name,F1_Judge-3-Score,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Judge-1-Score,F2_Judge-2-Score,F2_Judge-3-Score,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff
2016-05-08,a314687f372b2cec,3,Jon Tuck,Josh Emmett,0,1,Ben Cartlidge,28 - 29,Andreas Gruner,29 - 28,Maciej Motylewski,28 - 29,0,53,180,54,181,0,1,7,2016-05-08 00:00:00,1,29 - 28,28 - 29,29 - 28,0,54,152,54,153,0,2,1,0,1,-28,0,-28,0,1,-6
2016-05-14,a4bf17bd3ba3423b,3,Corey Anderson,Mauricio Rua,0,1,Hallison Pontes,29 - 28,Joseph Terrell,28 - 29,Otto Torriero,29 - 28,0,55,138,106,196,4,8,340,2016-05-14 00:00:00,1,28 - 29,29 - 28,28 - 29,2,48,101,66,119,0,0,13,2,-7,-37,-40,-77,-4,-8,-327
2016-05-14,a4bf17bd3ba3423b,3,Renato Moicano,Zubaira Tukhugov,1,1,Joseph Terrell,28 - 29,Glenn Trowbridge,29 - 28,Alessandro Vieira,28 - 29,0,44,129,52,137,0,0,5,2016-05-14 00:00:00,0,29 - 28,28 - 29,29 - 28,0,29,112,32,115,3,8,114,0,15,17,20,22,-3,-8,-109
2016-05-29,990060b2a68a7b82,3,Aljamain Sterling,Bryan Caraway,0,1,Adalaide Byrd,28 - 29,Dave Hagen,29 - 28,Tony Weeks,28 - 29,0,32,64,56,91,1,3,231,2016-05-29 00:00:00,1,29 - 28,28 - 29,29 - 28,0,9,31,69,96,3,6,395,0,-23,-33,13,5,2,3,164
2016-05-29,990060b2a68a7b82,3,Jorge Masvidal,Lorenz Larkin,0,1,Adalaide Byrd,28 - 29,Dave Hagen,29 - 28,Glenn Trowbridge,28 - 29,0,48,121,60,133,1,2,165,2016-05-29 00:00:00,1,29 - 28,28 - 29,29 - 28,0,44,122,58,136,1,2,127,0,-4,1,-2,3,0,0,-38
2016-06-04,ff4c3ab594c7fac3,3,Sean Strickland,Tom Breese,1,1,Michael Bell,28 - 29,Jeff Mullen,29 - 28,Wade Vierra,28 - 29,0,73,207,77,211,0,2,18,2016-06-04 00:00:00,0,29 - 28,28 - 29,29 - 28,0,62,153,62,153,0,3,11,0,11,54,15,58,0,-1,7
2016-06-18,563d051c9e769b24,3,Jason Saggo,Leandro Silva,1,1,Douglas Crosby,28 - 29,Pasquale Procopio,29 - 28,David Therien,28 - 29,0,48,132,75,160,1,2,201,2016-06-18 00:00:00,0,29 - 28,28 - 29,29 - 28,0,47,99,61,115,2,3,73,0,1,33,14,45,-1,-1,128
2016-07-07,45a2ba3ef82b9700,3,John Makdessi,Mehdi Baghdad,1,1,Sal D'Amato,28 - 29,Junichiro Kamijo,29 - 28,Tony Weeks,28 - 29,0,84,152,110,182,0,1,105,2016-07-07 00:00:00,0,29 - 28,28 - 29,29 - 28,1,60,193,64,197,0,1,7,-1,24,-41,46,-15,0,0,98
2016-07-07,45a2ba3ef82b9700,3,Derrick Lewis,Roy Nelson,1,1,Adalaide Byrd,29 - 28,Dave Hagen,28 - 29,Glenn Trowbridge,29 - 28,0,37,73,39,75,0,0,2,2016-07-07 00:00:00,0,28 - 29,29 - 28,28 - 29,0,4,19,66,89,7,10,581,0,33,54,-27,-14,-7,-10,-579
2016-07-07,45a2ba3ef82b9700,3,Anthony Birchak,Dileno Lopes,1,1,Derek Cleary,30 - 27,Lester Griffin,28 - 29,Patricia Morse Jarman,28 - 29,0,41,112,101,175,0,0,140,2016-07-07 00:00:00,0,27 - 30,29 - 28,29 - 28,0,25,87,35,98,2,12,310,0,16,25,66,77,-2,-12,-170
2016-07-08,cd42bbe8887bba90,3,John Moraga,Matheus Nicolau,0,1,Lester Griffin,28 - 29,Chris Lee,29 - 28,Jeff Mullen,28 - 29,0,31,113,33,115,0,2,0,2016-07-08 00:00:00,1,29 - 28,28 - 29,29 - 28,0,41,85,53,98,0,1,43,0,10,-28,20,-17,0,-1,43
2016-07-23,8a028648f3f0761d,3,Jason Knight,Jim Alers,1,1,Matt Janecek,28 - 29,Gabriel Sabaitis,29 - 28,Rick Winter,28 - 29,0,76,225,95,245,1,2,46,2016-07-23 00:00:00,0,29 - 28,28 - 29,29 - 28,0,41,100,49,110,4,10,202,0,35,125,46,135,-3,-8,-156
2016-07-30,72cbe507644a587c,3,Fredy Serrano,Ryan Benoit,0,1,Ken Coffey,29 - 28,James Corbett,28 - 29,Chris Lee,28 - 29,0,22,60,67,116,5,14,299,2016-07-30 00:00:00,1,28 - 29,29 - 28,29 - 28,1,31,58,45,76,0,1,85,1,9,-2,-22,-40,-5,-13,-214
2016-07-30,72cbe507644a587c,3,Karolina Kowalkiewicz,Rose Namajunas,1,1,Ken Coffey,29 - 28,Chris Lee,28 - 29,Jeff Mullen,28 - 29,0,84,242,128,293,0,0,138,2016-07-30 00:00:00,0,28 - 29,29 - 28,29 - 28,0,70,145,74,149,2,6,146,0,14,97,54,144,-2,-6,-8
2016-08-06,232c582f29f8f65e,5,Alex Caceres,Yair Rodriguez,0,1,Derek Cleary,49 - 46,Glenn Trowbridge,47 - 48,Tony Weeks,47 - 48,0,62,196,65,202,1,1,99,2016-08-06 00:00:00,1,46 - 49,48 - 47,48 - 47,0,120,338,124,343,1,2,31,0,58,142,59,141,0,1,-68
2016-08-06,232c582f29f8f65e,3,Danielle Taylor,Maryna Moroz,0,1,Derek Cleary,29 - 28,Dan Furse,28 - 29,Rich Montanez,27 - 30,0,17,102,17,102,1,1,1,2016-08-06 00:00:00,1,28 - 29,29 - 28,30 - 27,0,17,251,17,251,0,0,0,0,0,149,0,149,-1,-1,-1
2016-08-27,cfbccfed4e4796fe,3,Enrique Barzola,Kyle Bochniak,0,1,John Cooper,28 - 29,Dave Hagen,30 - 27,David Therien,28 - 29,0,55,165,56,168,1,9,18,2016-08-27 00:00:00,1,29 - 28,27 - 30,29 - 28,0,41,141,41,142,1,3,27,0,-14,-24,-15,-26,0,-6,9
2016-08-27,cfbccfed4e4796fe,3,Alessio Di Chirico,Garreth McLellan,1,1,John Cooper,29 - 28,David Therien,28 - 29,Tony Weeks,29 - 28,1,61,136,114,198,2,6,186,2016-08-27 00:00:00,0,28 - 29,29 - 28,28 - 29,0,57,139,88,179,2,8,223,1,4,-3,26,19,0,-2,-37
2016-08-27,cfbccfed4e4796fe,3,Jim Miller,Joe Lauzon,1,1,Dave Hagen,29 - 28,David Therien,28 - 29,Tony Weeks,29 - 28,0,80,166,97,185,0,3,8,2016-08-27 00:00:00,0,28 - 29,29 - 28,28 - 29,0,54,136,92,177,3,4,372,0,26,30,5,8,-3,-1,-364
2016-09-03,2b4faacc16d66898,3,Jessin Ayari,Jim Wallhead,1,1,Ben Cartlidge,29 - 28,Takeo Kobayashi,28 - 29,Paul Sutherland,27 - 30,0,70,172,72,174,0,3,11,2016-09-03 00:00:00,0,28 - 29,29 - 28,30 - 27,1,47,135,53,142,0,0,34,-1,23,37,19,32,0,3,-23
2016-09-10,2dc7f1762dc0a7ef,3,Bethe Correia,Jessica Eye,1,1,Derek Cleary,29 - 28,Eric Colon,28 - 29,Sal D'Amato,29 - 28,0,49,150,69,170,0,3,60,2016-09-10 00:00:00,0,28 - 29,29 - 28,28 - 29,0,52,199,63,210,0,0,3,0,-3,-49,6,-40,0,3,57
2016-09-10,2dc7f1762dc0a7ef,3,Brad Tavares,Caio Magalhaes,1,1,Derek Cleary,29 - 28,Eric Colon,27 - 30,Rick Winter,28 - 29,0,46,100,58,112,0,0,119,2016-09-10 00:00:00,0,28 - 29,30 - 27,29 - 28,0,26,81,39,95,1,7,167,0,20,19,19,17,-1,-7,-48
2016-09-17,d6455cb4bee503ce,3,Kenny Robertson,Roan Carneiro,0,1,Guadalupe Chapa,29 - 28,Hector Maldonado,30 - 27,Marcos Rosales,28 - 29,0,28,134,45,153,0,0,192,2016-09-17 00:00:00,1,28 - 29,27 - 30,29 - 28,0,33,70,43,80,2,6,157,0,5,-64,-2,-73,2,6,-35
